datetime,close,Volume,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7
2022-01-03,124.53874206542967,464600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8177725,9.197991,1.0297437,6.479691,4.861162,7.443747,8.4602995
2022-01-04,121.89207458496094,918500,-0.021480830082656218,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.324967,5.917899,1.2545983,-1.1408458,8.492441,6.8484216,2.8119254
2022-01-05,120.68994140625,472500,-0.009911229523690121,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0630195,9.028603,1.5027215,5.7829795,4.645565,8.123499,8.948046
2022-01-06,121.64971160888672,400000,0.007920909424051608,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.206689,10.322985,0.21905951,8.196646,5.6706367,4.9168634,6.735531
2022-01-07,120.37969207763672,535900,-0.010494850367317836,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46438724,3.519036,9.738435,-0.06591384,2.0688353,4.078222,1.9151546
2022-01-10,118.92548370361328,675100,-0.012153738586994112,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5082517,-1.946293,4.9865484,9.998209,6.433296,7.2822866,3.848677
2022-01-11,122.09566497802734,513300,0.026307767011178033,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2242198,4.4387064,10.358925,-0.2792409,0.25534627,6.3579617,2.4269388
2022-01-12,120.77719116210938,366400,-0.010857423831182132,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2487907,11.20421,-0.36750233,8.426944,6.9781237,3.4680176,5.2342978
2022-01-13,116.6860122680664,510500,-0.034460781280344834,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0852231,4.504095,10.492788,-0.42250717,0.117504165,6.5760174,2.6025236
2022-01-14,114.55315399169922,735000,-0.018447729233378993,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.223626,-0.708875,0.5306117,8.647642,2.1848843,4.159573,3.91339
2022-01-18,115.65835571289062,704500,0.009601693794903877,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.498215,-1.650984,2.766624,9.975106,4.259889,6.3691278,3.7558947
2022-01-19,116.61813354492188,510900,0.00826414500679581,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0894028,4.491887,10.488352,-0.41775236,0.12292259,6.57823,2.6000893
2022-01-20,116.67630004882812,469700,0.0004986531758645841,,,,33.229161833956994,,-1.7511481160057087,,,,,,,,,,,,,,,,,,,,,,-1.9580688,9.0909815,1.336328,5.982268,4.7204075,7.941904,8.806936
2022-01-21,114.48528289794922,659800,-0.018957153162807626,-0.08417056765557777,,0.38430623307970063,28.092903628502143,-8.072555576479653,-1.8796230471964321,,,0.016312664306131028,,,,,,,,,,,,,,,,,,,4.1165204,-2.3819146,6.418427,9.452936,7.746792,7.0360427,4.9418077
2022-01-24,114.49497985839844,789200,8.469691088913738e-05,-0.0626050406620325,,0.2531189119890897,28.146154832118498,-6.068560857421943,-1.8801765802206063,,,0.0157461673035631,,,,,,,,,,,,,,,,,,,6.5891085,0.9699894,-1.348404,6.703808,1.1557447,0.63505954,5.8793316
2022-01-25,112.08099365234376,559500,-0.021309210448828126,-0.07400302158717044,,0.23778315414051301,23.460626683906668,-7.133111221694914,-2.1486287490505305,,,0.01635893703528308,,,,,,,,,,,,,,,,,,,1.7019072,3.1563537,10.280655,1.3146188,5.8636675,1.2862442,3.4178584
2022-01-26,111.3441925048828,657100,-0.006595530531705677,-0.08851946154292761,,0.19777206569368674,22.236614444519077,-8.471470230144865,-2.330545393928574,,,0.015839448282600442,,,,,,,,,,,,,,,,,,,4.1242943,-2.3369136,6.626153,9.385182,7.946702,6.905993,5.1183405
2022-01-27,111.24723815917967,422300,-0.00087114181840102,-0.0788957529940107,,0.15502152087207824,22.072451244037467,-7.586374213822738,-2.360649250630729,,,0.01587768214716867,,,,,,,,,,,,,,,,,,,-1.8520442,9.991196,0.30533502,7.803468,5.3980126,5.618482,7.151587
2022-01-28,112.76930236816406,482000,0.013589064697638023,-0.053152949709378755,,0.13865415326576344,30.76524017189503,-5.176503087253936,-2.065289408526894,,,0.01664242497376694,,,,,,,,,,,,,,,,,,,-2.3758428,8.920556,1.970986,5.2472105,4.4427366,8.630383,9.349615
2022-01-31,114.911865234375,717400,0.018821285370193532,-0.060639431350363183,,0.3475141184014807,40.83057396200521,-5.883746769342842,-1.494078915799463,,,0.015599825760411346,,,,,,,,,,,,,,,,,,,4.8673496,-1.1982617,1.6140385,9.585494,3.0270905,5.4458604,3.6905096
2022-02-01,115.26085662841795,430700,0.003032432850009819,-0.04674957466917128,,0.6264294149066608,42.3105133080491,-4.567364483818219,-1.0335194796418676,-1.7547812708254815,0.7212617911836139,0.015615981665361996,,,,,,,,,,,,,,,,,,,-1.7420582,9.931027,0.35610136,7.692677,5.301707,6.007651,7.3885155
2022-02-02,116.33699035644533,558800,0.009293190648413165,-0.0029956027404132945,,0.4071053881094289,46.75894422947615,-0.2991120399412233,-0.5556264563724085,-1.5149503079348672,0.9593238515624587,0.012885881809132596,,,,,,,,,,,,,,,,,,,1.6818267,3.1666055,10.272285,1.2949064,5.836609,1.3055341,3.40459
2022-02-03,113.11833190917967,612800,-0.028056612935424323,-0.012604486442458623,,0.2424769314854839,37.411617593535205,-1.252538260643191,-0.7001686098424358,-1.3519939683163809,0.6518253584739451,0.01422402746870545,,,,,,,,,,,,,,,,,,,3.604065,-0.8634231,9.514267,7.177787,11.251021,4.370751,8.141165
2022-02-04,116.5793685913086,1126400,0.030137860671294352,0.007931680433931743,,0.43765464751096567,49.233648491871975,0.7963219542082058,-0.265651683505979,-1.1347255113543004,0.8690738278483214,0.016460445687990103,,,,,,,,,,,,,,,,,,,10.606401,10.742203,8.818836,9.100919,3.7114177,4.652273,5.9548235
