datetime,close,Volume,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7
2022-01-03,393.6659240722656,40575900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0941886,7.693471,-2.2214813,0.21881355,5.1698513,2.3148346,2.1549828
2022-01-04,388.5598754882813,58027200,-0.01305536358076783,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.576175,8.149887,10.046416,2.0209389,4.2516217,3.906303,5.8408813
2022-01-05,376.6228942871094,75739800,-0.031202871165286892,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.133957,-0.9635303,2.1592135,6.3107023,5.840002,6.252472,4.293112
2022-01-06,376.3582153320313,70814300,-0.0007030162180642897,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.90995,-0.45659894,3.8492608,4.4218645,6.146004,6.6030917,4.1805167
2022-01-07,372.2812805175781,72652300,-0.010891691235937116,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0464945,-0.73841584,3.245822,5.0777125,6.0244884,6.550971,4.2197194
2022-01-10,372.5262451171875,91770500,0.0006577930539396235,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.882422,-1.4093356,0.84237605,8.988585,3.8809853,3.949688,6.226957
2022-01-11,378.122314453125,68295700,0.014910234459062935,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.722196,0.9105899,5.5532236,2.3946457,6.92793,6.8743167,4.66886
2022-01-12,379.6217956542969,54576400,0.003957756024684126,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.221575,10.077491,9.102486,6.500151,3.4157085,5.4910226,1.8527418
2022-01-13,370.1251220703125,77994000,-0.025334366281798658,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.176157,-0.98458034,1.5430019,7.0992928,5.7584505,6.1878147,4.3314734
2022-01-14,372.4282531738281,80121200,0.006203294108769098,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.326699,-1.1725782,0.8818373,7.940686,5.4469705,5.8083086,4.468634
2022-01-18,363.1570129394531,75450900,-0.025209127060587186,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.118012,-0.9821284,2.2453127,6.209351,5.8365393,6.2783794,4.269278
2022-01-19,359.168212890625,81791500,-0.011044444945795467,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.260625,-1.2183315,0.871604,8.280126,5.227305,5.46197,4.683719
2022-01-20,354.5031433105469,88610700,-0.013073625515081122,,,,16.324595319231832,,-7.661054182004591,,,,,,,,,,,,,,,,,,,,,,10.944855,-1.4014088,0.87289345,8.944393,3.995742,4.0364738,6.0835266
2022-01-21,344.6732788085937,143388900,-0.02812026243689864,-0.13290569079376144,,0.1913756035995455,12.845328144760785,-12.445233957988782,-9.364735342838912,,,0.014555333673822973,,,,,,,,,,,,,,,,,,,10.052355,-1.6758807,0.50627345,9.507042,2.7705262,3.126013,7.609475
2022-01-24,346.2510986328125,198685800,0.004567280062815986,-0.11528304715017763,,0.020918544763239243,15.959938342318296,-10.888611903712844,-9.800168513651556,,,0.015080760528206977,,,,,,,,,,,,,,,,,,,10.050717,-1.6679821,0.5119047,9.501734,2.7625234,3.1272933,7.6203537
2022-01-25,338.2245483398437,124398400,-0.023454211338445927,-0.10753438732333678,,0.0,13.333885909927034,-10.195435946597986,-10.813403414628226,,,0.014254950654972917,,,,,,,,,,,,,,,,,,,10.167978,-1.6185441,0.57236105,9.425277,2.925659,3.2282765,7.446792
2022-01-26,337.6953125,146559500,-0.0015659724729452686,-0.10839734357821783,,0.0,13.178991133693188,-10.272899928043836,-11.067993028484352,,,0.01421873071514804,,,,,,,,,,,,,,,,,,,10.072341,-1.648015,0.53349155,9.48092,2.7868938,3.1482615,7.593849
