datetime,close,Volume,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7
2022-01-03,16.600000381469727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.788696,0.23042403,1.3036982,9.01326,4.779018,1.3014617,2.7798293
2022-01-04,16.90999984741211,0,0.018502435544357602,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8415096,0.17763892,1.2509103,8.960474,4.8317986,1.2486659,2.727044
2022-01-05,19.729999542236328,0,0.1542351429461621,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8138986,0.20535102,1.2786173,8.988193,4.804069,1.2763594,2.7547498
2022-01-06,19.61000061035156,0,-0.006100625500360934,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8433614,0.17589463,1.2491606,8.958739,4.833525,1.2469007,2.7252927
2022-01-07,18.76000022888184,0,-0.04431271555415718,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8069675,0.21230344,1.2855695,8.9951515,4.7971168,1.2833103,2.7617002
2022-01-10,19.399999618530277,0,0.03354609062729154,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.754689,0.26467258,1.3379285,9.0475235,4.744734,1.335657,2.8140626
2022-01-11,18.40999984741211,0,-0.052379059449223685,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7584503,0.26085755,1.334117,9.043694,4.748556,1.3318462,2.81025
2022-01-12,17.6200008392334,0,-0.04385931881904721,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.770482,0.24879624,1.3220602,9.031629,4.760626,1.3197908,2.7981896
2022-01-13,20.309999465942383,0,0.1420786811593658,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8808553,0.13841234,1.2116772,8.92125,4.8710074,1.2094159,2.6878083
2022-01-14,19.190000534057617,0,-0.056724011447385425,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8264093,0.19294709,1.2662059,8.975793,4.816463,1.2639326,2.7423384
2022-01-18,22.790000915527344,0,0.17193254558031584,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.797676,0.22156325,1.2948363,9.004404,4.7878585,1.2925768,2.770962
2022-01-19,23.850000381469727,0,0.04546234989896832,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8790188,0.14019617,1.2134584,8.923034,4.869226,1.2112134,2.6895986
2022-01-20,25.59000015258789,0,0.07041742280560326,,,,78.97344767658565,,1.8635485253026864,,,,,,,,,,,,,,,,,,,,,,8.238452,14.736789,4.51678,8.569919,6.855767,3.141065,8.052929
2022-01-21,28.850000381469727,0,0.11990835004213829,0.552707287834028,,0.06591094483711628,83.74575154329995,73.79517902707067,2.5171261934059608,,,0.08306299989586541,,,,,,,,,,,,,,,,,,,8.075359,14.887949,4.6724653,8.3746605,6.6923823,2.9953551,8.229079
2022-01-24,29.899999618530277,0,0.035748461461826586,0.5699533137514969,,0.0,84.93853268294005,76.81844996057848,2.96453583250209,,,0.0827847684924901,,,,,,,,,,,,,,,,,,,8.043947,14.916303,4.69786,8.340854,6.6598344,2.9997604,8.260458
2022-01-25,31.15999984741211,0,0.04127674846717597,0.4569949192725107,,0.0,86.25022839946675,57.932086013014825,3.2974586714827545,,,0.07587180456296783,,,,,,,,,,,,,,,,,,,8.053418,14.907737,4.690373,8.350317,6.670755,2.9801698,8.249114
2022-01-26,31.959999084472656,0,0.0253498761464045,0.4884454209192763,,0.0,87.02732736439168,62.978062670747114,3.480984436500677,,,0.07494247375849897,,,,,,,,,,,,,,,,,,,8.065613,14.896678,4.6794147,8.361805,6.6821923,2.9918573,8.239665
2022-01-27,30.489999771118164,0,-0.047086338758656796,0.48567179771477664,,0.0,78.2264834380059,62.52664924906279,3.2412662504609777,,,0.07519853301339119,,,,,,,,,,,,,,,,,,,8.056778,14.916957,4.708617,8.35195,6.6728396,2.9661229,8.239617
2022-01-28,27.65999984741211,0,-0.09741143277332177,0.3547142743141634,,0.04036048175023226,64.60132666774996,42.577321604646514,2.557917729072095,,,0.08400755885953208,,,,,,,,,,,,,,,,,,,8.083251,14.918203,4.7102513,8.393395,6.7060804,2.956981,8.269216
2022-01-31,24.82999992370605,0,-0.10793472427263467,0.2991586094907524,,0.14812654871337314,54.34663780627525,34.87235268606697,1.630850574668969,,,0.08962324486458643,,,,,,,,,,,,,,,,,,,8.19549,14.811362,4.6173778,8.5196085,6.821296,3.006293,8.201965
2022-02-01,21.959999084472656,0,-0.12283002149677473,0.220187906813025,,0.2574643740447084,46.27621026003822,24.631089889483114,0.5866929898513078,2.112512862043164,-1.5258198721918563,0.09691333971818628,,,,,,,,,,,,,,,,,,,8.227303,14.762299,4.555112,8.558178,6.852253,3.0724156,8.13547
2022-02-02,22.09000015258789,0,0.005902449388932326,0.08401167504259151,,0.2087197952879112,46.66486526186387,8.76415919966109,-0.05796223560636449,1.6784178425132585,-1.736380078119623,0.08932214716785963,,,,,,,,,,,,,,,,,,,8.282362,14.698641,4.488771,8.616369,6.9056287,3.0986695,8.097334
2022-02-03,24.350000381469727,0,0.09740684085512573,0.23814252734510272,,0.28565661737008247,53.060190194138066,26.8890031464791,-0.12742612724604996,1.317249048561397,-1.444675175807447,0.09045823159527511,,,,,,,,,,,,,,,,,,,8.213922,14.786571,4.5896983,8.542722,6.8443494,3.0319297,8.181438
2022-02-04,23.21999931335449,0,-0.047517918496258305,0.01869206326852858,,0.22228904631781457,49.82409621787885,1.8867853468763014,-0.32618269809309197,0.9885626992304993,-1.3147453973235912,0.07917545228361643,,,,,,,,,,,,,,,,,,,8.199738,14.792908,4.5793343,8.556574,6.8444605,3.0568006,8.146777
2022-02-07,22.86000061035156,0,-0.015625261632240678,-0.04239554826268041,,0.17853687419688735,48.7969571402121,-4.150942370161757,-0.4859852011593304,0.6936531191525335,-1.1796383203118639,0.07815101123439507,,,,,,,,,,,,,,,,,,,8.262806,14.718859,4.515992,8.612579,6.895187,3.1337225,8.053175
2022-02-08,21.440000534057617,0,-0.06413032395420283,-0.17694329502248646,,0.12066092238520512,44.846328110383304,-16.217270784621657,-0.7668444914394534,0.40155359703413607,-1.1683980884735896,0.0764716356394918,,,,,,,,,,,,,,,,,,,8.244956,14.715151,4.477966,8.567769,6.8483486,3.2103424,7.9723153
2022-02-09,19.959999084472656,0,-0.07152813609679119,-0.3683797811614158,,0.054138894786653444,41.09014256764443,-30.814562147136375,-1.118928162309242,0.09745724516546045,-1.2163854074747025,0.0663845052300459,,,,,,,,,,,,,,,,,,,8.252793,14.716365,4.505948,8.583497,6.8676395,3.1698775,8.013825
2022-02-10,23.90999984741211,0,0.18056655007325953,-0.22356169254998295,,0.05373057513316449,52.57497919779474,-20.033444306152816,-0.7245332329398337,-0.06694085045559839,-0.6575923824842353,0.08698816869177406,,,,,,,,,,,,,,,,,,,8.238633,14.734159,4.4731793,8.569217,6.8511896,3.1978116,7.990404
2022-02-11,27.36000061035156,0,0.1347853399740475,-0.13005310104311138,,0.26700196224567957,59.960909021488376,-12.195119562480187,0.0393630872140065,-0.045680062921677415,0.08504315013568392,0.09566005606439429,,,,,,,,,,,,,,,,,,,8.297894,14.676987,4.5108633,8.630556,6.911115,3.1843252,8.002228
2022-02-14,28.32999992370605,0,0.034839196086860244,-0.12056378110265574,,0.4709967539048721,61.77420427012965,-11.357945133766266,0.6440193856562182,0.09225982679390171,0.5517595588623165,0.09598795345071741,,,,,,,,,,,,,,,,,,,8.345879,14.641853,4.43178,8.674059,6.9477305,3.2464073,7.9381204
2022-02-15,25.700000762939453,0,-0.09743028956184699,-0.17090773190584602,,0.5637081206658318,54.521523137953075,-15.710065740033446,0.6122164480355607,0.1962511510422335,0.41596529699332724,0.09862007425632542,,,,,,,,,,,,,,,,,,,8.256025,14.718673,4.4782286,8.579242,6.853791,3.211403,7.974272
2022-02-16,24.290000915527344,0,-0.05642624088191999,-0.12992254001444423,,0.6425950092477245,51.041062755865305,-12.183654918566694,0.3663282856564649,0.2302665779650798,0.13606170769138512,0.09633033085245161,,,,,,,,,,,,,,,,,,,8.2430315,14.728051,4.468913,8.574691,6.8546033,3.2031536,7.9771996
2022-02-17,28.11000061035156,0,0.1460606259257955,0.12407281018398608,,0.5666491182163329,58.766533180751516,13.209829628368135,0.7465465799642956,0.33352257836492294,0.4130240015993727,0.10047905506320197,,,,,,,,,,,,,,,,,,,8.248302,14.735916,4.533651,8.581494,6.874639,3.0976744,8.12536
2022-02-18,27.75,0,-0.012889566438965801,0.23401326524179508,,0.4512287598535535,57.83481553181845,26.366125486868995,0.8974333431652219,0.4463047313249828,0.45112861184023917,0.0927375750390207,,,,58.45075632648827,,1.550920105723307,,,,,,,,,,,,,10.890517,1.7783345,-0.023941172,4.710471,4.9256845,3.6199613,4.9391804
2022-02-22,28.809999465942383,0,0.037486690366762734,0.26559750621962547,,0.44714147820760874,59.864584150512606,30.421001661094284,1.1046115568650983,0.5779660964330059,0.5266454604320924,0.09280789930866745,0.551319812216605,,0.15058824969019274,59.609608868610245,73.55420966196154,1.656813549525495,,,0.08673208448901969,,,,,,,,,,10.878165,1.9422593,-0.2270163,4.158155,4.879883,3.5324779,4.7998285
2022-02-23,31.020000457763672,0,0.0739096419462359,0.24210030731073556,,0.30282683373290453,63.8004854903952,27.39219700944972,1.5020836025796918,0.7627895976623431,0.7392940049173486,0.0914019824071753,0.6067270186184831,,0.1551172641419948,61.892708860125545,83.44175480587566,1.8543127842102258,,,0.08729506083142523,,,,,,,,,,10.838756,1.9932393,-0.28055376,4.097899,4.837772,3.4895575,4.749094
