Feature,Importance
ETH-USD_log_returns_55,20
MDY_MR_Strength_13,19
ETH-USD_RSI_13,18
TNX_MR_Strength_13,15
SPX_log_returns_34,14
QQQ_log_returns_13,14
MDY_RSI_13,14
BTC-USD_log_returns_55,12
SPX_log_returns_13,11
SPX_MACD_13,11
QQQ_RSI_13,11
BTC-USD_Volume,10
ETH-USD_MR_Strength_55,10
SPX_Volume,9
pca_1,9
SPX_RSI_13,8
SPX_MR_Strength_34,8
ETH-USD_Volume,8
CBOE_Volume,8
BTC-USD_RSI_13,8
ETH-USD_funding_rate,7
QQQ_Volume,7
BTC-USD_log_returns_13,7
MDY_Volatility_13,7
SPX_MACD_Signal_13,7
MDY_MACD_Signal_13,7
SPX_RSI_55,6
SPX_RSI_34,6
BTC-USD_MACD_Signal_13,6
MDY_RSI_55,6
QQQ_MR_Strength_13,6
CBOE_log_returns_34,6
TNX_MACD_Diff_13,6
ETH-USD_MACD_Signal_13,6
BTC-USD_MACD_Signal_34,6
TNX_close,5
ETH-USD_RSI_34,5
SPX_log_returns_55,5
TNX_RSI_13,5
VIX_MR_Strength_13,5
VIX_Volatility_13,5
BTC-USD_MR_Strength_13,5
MDY_MR_Strength_34,5
TNX_MR_Strength_55,5
TNX_Volatility_13,5
TNX_MACD_Signal_13,4
VIX_MACD_Diff_13,4
QQQ_MACD_Diff_13,4
TNX_log_returns_34,4
ETH-USD_MACD_Diff_34,4
VIX_log_returns_13,4
ETH-USD_MACD_13,4
SPX_MR_Strength_13,4
SPX_Volatility_34,4
SPX_Volatility_13,4
MDY_RSI_34,4
ETH-USD_RSI_55,4
BTC-USD_MACD_13,4
CBOE_MR_Strength_34,4
SPX_MACD_Diff_13,3
ETH-USD_log_returns_13,3
ETH-USD_close,3
BTC-USD_RSI_55,3
VIX_log_returns_34,3
VIX_MR_Strength_34,3
CBOE_Volatility_55,3
VIX_MACD_Diff_34,3
ETH-USD_log_returns_34,3
ETH-USD_MR_Strength_34,3
VIX_close,3
BTC-USD_MACD_Diff_13,3
TNX_log_returns_13,3
QQQ_MR_Strength_34,3
MDY_MACD_55,3
MDY_MACD_34,3
ETH-USD_MACD_Signal_34,3
TNX_RSI_55,3
MDY_log_returns_13,3
SPX_MR_Strength_55,3
QQQ_Volatility_34,3
CBOE_log_returns_13,3
MDY_MACD_Signal_55,2
BTC-USD_RSI_34,2
BTC-USD_MR_Strength_34,2
VIX_MACD_Signal_34,2
BTC-USD_log_returns_34,2
TNX_MACD_Diff_34,2
BTC-USD_Volatility_13,2
QQQ_Volatility_55,2
SPX_Volatility_55,2
BTC-USD_close,2
VIX_MR_Strength_55,2
VIX_RSI_13,2
CBOE_Volatility_13,2
QQQ_MACD_13,2
SPX_MACD_Diff_34,2
MDY_MACD_13,1
TNX_MACD_55,1
BTC-USD_MACD_34,1
MDY_Volume,1
BTC-USD_MACD_Diff_34,1
BTC-USD_Volatility_34,1
TNX_log_returns_55,1
BTC-USD_MR_Strength_55,1
SPX_MACD_Diff_55,1
BTC-USD_MACD_55,1
BTC-USD_MACD_Signal_55,1
ETH-USD_MR_Strength_13,1
MDY_MACD_Diff_13,1
QQQ_MR_Strength_55,1
TNX_Volatility_34,1
BTC-USD_funding_rate,1
QQQ_MACD_Diff_34,1
QQQ_MACD_Signal_13,1
TNX_RSI_34,1
CBOE_MACD_Diff_55,1
CBOE_MACD_Signal_55,1
ETH-USD_Volatility_55,1
MDY_Volatility_55,1
MDY_MACD_Diff_55,1
CBOE_RSI_13,1
CBOE_MR_Strength_13,1
CBOE_MR_Strength_55,1
MDY_log_returns_55,1
CBOE_log_returns_55,1
VIX_log_returns_55,1
ETH-USD_Volatility_13,1
ETH-USD_MACD_Diff_13,1
MDY_Volatility_34,1
VIX_Volatility_55,1
MDY_MACD_Signal_34,1
CBOE_MACD_13,0
CBOE_Momentum_13,0
CBOE_MACD_Signal_13,0
CBOE_MACD_55,0
CBOE_MACD_Diff_13,0
TNX_MACD_13,0
TNX_Volatility_55,0
TNX_MACD_Diff_55,0
TNX_MACD_Signal_55,0
TNX_Momentum_55,0
TNX_MACD_Signal_34,0
TNX_MACD_34,0
TNX_Momentum_34,0
TNX_MR_Strength_34,0
TNX_Momentum_13,0
CBOE_RSI_34,0
TNX_Volume,0
CBOE_Momentum_55,0
CBOE_RSI_55,0
CBOE_Volatility_34,0
CBOE_MACD_Diff_34,0
CBOE_MACD_Signal_34,0
CBOE_MACD_34,0
CBOE_Momentum_34,0
CBOE_close,0
SPX_MACD_Signal_34,0
ETH-USD_MACD_Diff_55,0
QQQ_close,0
QQQ_MACD_55,0
QQQ_Momentum_55,0
QQQ_RSI_55,0
QQQ_log_returns_55,0
QQQ_MACD_Signal_34,0
QQQ_MACD_34,0
QQQ_Momentum_34,0
QQQ_RSI_34,0
QQQ_log_returns_34,0
QQQ_Volatility_13,0
QQQ_Momentum_13,0
MDY_Momentum_55,0
ETH-USD_MACD_Signal_55,0
MDY_MR_Strength_55,0
MDY_MACD_Diff_34,0
MDY_Momentum_34,0
MDY_log_returns_34,0
MDY_Momentum_13,0
SPX_Momentum_34,0
SPX_MACD_34,0
MDY_close,0
SPX_MACD_Signal_55,0
SPX_MACD_55,0
SPX_Momentum_55,0
QQQ_MACD_Signal_55,0
QQQ_MACD_Diff_55,0
VIX_Volume,0
VIX_Momentum_13,0
ETH-USD_MACD_55,0
ETH-USD_Momentum_55,0
SPX_Momentum_13,0
ETH-USD_Volatility_34,0
ETH-USD_MACD_34,0
ETH-USD_Momentum_34,0
ETH-USD_Momentum_13,0
BTC-USD_Volatility_55,0
